# * INTENSITY STEADY STATE * 
#
# file generated by ** ns_ISS.H ** 
#
# ------------- 
# ome (eV)	Ome	|p1|²	|p2|²	|p3|²	N
#
  2.3544  	0          	0          	0          	0          	1          	0          
  2.3562  	0          	0          	0          	0          	1          	0          
  2.358   	0          	0          	0          	0          	1          	0          
  2.3598  	0          	0          	0          	0          	1          	0          
  2.3616  	0          	0          	0          	0          	1          	0          
  2.3634  	0          	0          	0          	0          	1          	0          
  2.3652  	0          	0          	0          	0          	1          	0          
  2.367   	0          	0          	0          	0          	1          	0          
  2.3688  	0          	0          	0          	0          	1          	0          
  2.3706  	0          	0          	0          	0          	1          	0          
  2.3724  	0          	0          	0          	0          	1          	0          
  2.3742  	0          	0          	0          	0          	1          	0          
  2.376   	0          	0          	0          	0          	1          	0          
  2.3778  	0          	0          	0          	0          	1          	0          
  2.3796  	0          	0          	0          	0          	1          	0          
  2.3814  	0          	0          	0          	0          	1          	0          
  2.3832  	0          	0          	0          	0          	1          	0          
  2.385   	0          	0          	0          	0          	1          	0          
  2.3868  	-0.457485  	5.89523e-07	3.87067e-07	8.13893e-07	0.999831   	-0.393555  
  2.3886  	-0.455394  	1.07598e-05	7.06342e-06	1.48546e-05	0.996913   	-0.392046  
  2.3904  	-0.453305  	2.07912e-05	1.36463e-05	2.87028e-05	0.994037   	-0.390535  
  2.3922  	-0.451217  	3.06851e-05	2.01368e-05	4.23606e-05	0.991201   	-0.389023  
  2.394   	-0.449131  	4.0443e-05 	2.65358e-05	5.58298e-05	0.988405   	-0.387509  
  2.3958  	-0.447046  	5.00662e-05	3.28443e-05	6.91125e-05	0.985649   	-0.385994  
  2.3976  	-0.444963  	5.95562e-05	3.90633e-05	8.22105e-05	0.982932   	-0.384477  
  2.3994  	-0.442881  	6.89142e-05	4.51938e-05	9.51259e-05	0.980254   	-0.382959  
  2.4012  	-0.440801  	7.81417e-05	5.12366e-05	0.00010786 	0.977615   	-0.381439  
  2.403   	-0.438722  	8.724e-05  	5.71929e-05	0.000120416	0.975013   	-0.379918  
  2.4048  	-0.436645  	9.62104e-05	6.30634e-05	0.000132795	0.972449   	-0.378395  
  2.4066  	-0.434569  	0.000105054	6.88491e-05	0.000144998	0.969922   	-0.376871  
  2.4084  	-0.432495  	0.000113773	7.45511e-05	0.000157028	0.967433   	-0.375345  
  2.4102  	-0.430422  	0.000122368	8.01701e-05	0.000168887	0.964979   	-0.373818  
  2.412   	-0.428351  	0.000130841	8.57071e-05	0.000180576	0.962561   	-0.372289  
  2.4138  	-0.426281  	0.000139192	9.1163e-05 	0.000192097	0.960179   	-0.370759  
  2.4156  	-0.424212  	0.000147423	9.65387e-05	0.000203452	0.957832   	-0.369228  
  2.4174  	-0.422146  	0.000155536	0.000101835	0.000214643	0.95552    	-0.367694  
